Iteracion;Tipo;Tiempo (s)
1;GET;0,2652
1;POST;1,6638
2;GET;0,1641
2;POST;1,6168
3;GET;0,1349
3;POST;1,6018
4;GET;0,1321
4;POST;1,5903
5;GET;0,1293
5;POST;1,582
6;GET;0,1229
6;POST;1,6099
7;GET;0,1259
7;POST;1,5752
8;GET;0,12
8;POST;1,5818
9;GET;0,1248
9;POST;1,5275
10;GET;0,126
10;POST;1,5817
11;GET;0,1309
11;POST;1,6053
12;GET;0,1243
12;POST;1,5677
13;GET;0,1217
13;POST;1,5752
14;GET;0,118
14;POST;1,528
15;GET;0,1252
15;POST;1,5422
16;GET;0,1192
16;POST;1,6297
17;GET;0,1204
17;POST;1,5367
18;GET;0,1368
18;POST;1,6411
19;GET;0,1252
19;POST;1,5334
20;GET;0,1261
20;POST;1,6015
21;GET;0,1259
21;POST;1,5762
22;GET;0,1236
22;POST;1,5585
23;GET;0,1294
23;POST;1,5767
24;GET;0,1336
24;POST;1,6032
25;GET;0,126
25;POST;1,6275
26;GET;0,1349
26;POST;1,5537
27;GET;0,1281
27;POST;1,5252
28;GET;0,1235
28;POST;1,6004
29;GET;0,1214
29;POST;1,6444
30;GET;0,1226
30;POST;1,5729
31;GET;0,1346
31;POST;1,6096
32;GET;0,1411
32;POST;1,5447
33;GET;0,132
33;POST;1,5832
34;GET;0,1299
34;POST;1,5642
35;GET;0,129
35;POST;1,5703
36;GET;0,1334
36;POST;1,5794
37;GET;0,1257
37;POST;1,597
38;GET;0,1316
38;POST;1,5944
39;GET;0,1306
39;POST;1,5708
40;GET;0,1255
40;POST;1,6974
41;GET;0,1444
41;POST;1,5909
42;GET;0,1377
42;POST;1,617
43;GET;0,1403
43;POST;1,6047
44;GET;0,1291
44;POST;1,6339
45;GET;0,1227
45;POST;1,6961
46;GET;0,1245
46;POST;1,572
47;GET;0,1198
47;POST;1,5813
48;GET;0,1282
48;POST;1,6301
49;GET;0,124
49;POST;1,5599
50;GET;0,1339
50;POST;1,5876
51;GET;0,1225
51;POST;1,5105
52;GET;0,1258
52;POST;1,5591
53;GET;0,1209
53;POST;1,6231
54;GET;0,1298
54;POST;1,5685
55;GET;0,1227
55;POST;1,5616
56;GET;0,121
56;POST;1,5647
57;GET;0,1454
57;POST;1,5647
58;GET;0,1273
58;POST;1,5761
59;GET;0,1243
59;POST;1,5331
60;GET;0,1443
60;POST;1,5836
61;GET;0,1357
61;POST;1,5594
62;GET;0,1295
62;POST;1,6013
63;GET;0,1219
63;POST;1,5207
64;GET;0,1245
64;POST;1,5183
65;GET;0,1302
65;POST;1,567
66;GET;0,1228
66;POST;1,5946
67;GET;0,1206
67;POST;1,6066
68;GET;0,1283
68;POST;1,5838
69;GET;0,1242
69;POST;1,622
70;GET;0,1213
70;POST;1,616
71;GET;0,1372
71;POST;1,5554
72;GET;0,1292
72;POST;1,5739
73;GET;0,1275
73;POST;1,638
74;GET;0,1428
74;POST;1,5211
75;GET;0,1302
75;POST;1,5678
76;GET;0,148
76;POST;1,5431
77;GET;0,1277
77;POST;1,6214
78;GET;0,128
78;POST;1,6422
79;GET;0,1553
79;POST;1,5658
80;GET;0,1301
80;POST;1,5109
81;GET;0,12
81;POST;1,6092
82;GET;0,1334
82;POST;1,5447
83;GET;0,1267
83;POST;1,551
84;GET;0,1204
84;POST;1,5805
85;GET;0,1232
85;POST;1,5789
86;GET;0,1265
86;POST;1,6579
87;GET;0,129
87;POST;1,4962
88;GET;0,1361
88;POST;1,5896
89;GET;0,1245
89;POST;1,5586
90;GET;0,1461
90;POST;1,6139
91;GET;0,1248
91;POST;1,6145
92;GET;0,1321
92;POST;1,6169
93;GET;0,1265
93;POST;1,6423
94;GET;0,1224
94;POST;1,5622
95;GET;0,1231
95;POST;1,5989
96;GET;0,127
96;POST;1,5938
97;GET;0,1333
97;POST;1,6289
98;GET;0,1267
98;POST;1,617
99;GET;0,1259
99;POST;1,5775
100;GET;0,1199
100;POST;1,6134
101;GET;0,1225
