Iteracion;Tipo;Tiempo (s)
1;GET;0,2193
1;POST;1,5605
2;GET;0,1299
2;POST;1,585
3;GET;0,1259
3;POST;1,516
4;GET;0,1311
4;POST;1,5318
5;GET;0,1257
5;POST;1,5657
6;GET;0,1319
6;POST;1,6293
7;GET;0,1325
7;POST;1,5685
8;GET;0,133
8;POST;1,6404
9;GET;0,1292
9;POST;1,6271
10;GET;0,128
10;POST;1,5382
11;GET;0,131
11;POST;1,5425
12;GET;0,1325
12;POST;1,6449
13;GET;0,1422
13;POST;1,5701
14;GET;0,1238
14;POST;1,6041
15;GET;0,1239
15;POST;1,6082
16;GET;0,1308
16;POST;1,6245
17;GET;0,1299
17;POST;1,5265
18;GET;0,1342
18;POST;1,5441
19;GET;0,1284
19;POST;1,6139
20;GET;0,1332
20;POST;1,5844
21;GET;0,1349
21;POST;1,5968
22;GET;0,1243
22;POST;1,5404
23;GET;0,1319
23;POST;1,6126
24;GET;0,1366
24;POST;1,5621
25;GET;0,131
25;POST;1,5848
26;GET;0,1235
26;POST;1,6472
27;GET;0,1394
27;POST;1,625
28;GET;0,1227
28;POST;1,6049
29;GET;0,126
29;POST;1,597
30;GET;0,1226
30;POST;1,6436
31;GET;0,1366
31;POST;1,5803
32;GET;0,1287
32;POST;1,5806
33;GET;0,1244
33;POST;1,5505
34;GET;0,1245
34;POST;1,6321
35;GET;0,1244
35;POST;1,5934
36;GET;0,1373
36;POST;1,5596
37;GET;0,1299
37;POST;1,5891
38;GET;0,1341
38;POST;1,5342
39;GET;0,1367
39;POST;1,694
40;GET;0,124
40;POST;1,633
41;GET;0,1317
41;POST;1,5453
42;GET;0,1258
42;POST;1,5551
43;GET;0,1264
43;POST;1,5647
44;GET;0,1379
44;POST;1,6101
45;GET;0,1262
45;POST;1,5308
46;GET;0,1253
46;POST;1,5364
47;GET;0,1263
47;POST;1,5502
48;GET;0,1417
48;POST;1,6212
49;GET;0,1546
49;POST;1,5969
50;GET;0,1259
50;POST;1,5855
51;GET;0,1304
51;POST;1,5827
52;GET;0,1277
52;POST;1,5769
53;GET;0,1236
53;POST;1,6353
54;GET;0,1262
54;POST;1,5523
55;GET;0,1252
55;POST;1,588
56;GET;0,133
56;POST;1,5675
57;GET;0,1322
57;POST;1,6217
58;GET;0,1345
58;POST;1,5935
59;GET;0,1262
59;POST;1,5262
60;GET;0,1376
60;POST;1,5319
61;GET;0,1372
61;POST;1,6036
62;GET;0,1283
62;POST;1,5677
63;GET;0,1326
63;POST;1,603
64;GET;0,1283
64;POST;1,6055
65;GET;0,1352
65;POST;1,5566
66;GET;0,1285
66;POST;1,5235
67;GET;0,1246
67;POST;1,5591
68;GET;0,1299
68;POST;1,5099
69;GET;0,1253
69;POST;1,5761
70;GET;0,1389
70;POST;1,6544
71;GET;0,1352
71;POST;1,6104
72;GET;0,1298
72;POST;1,6308
73;GET;0,1255
73;POST;1,6061
74;GET;0,1296
74;POST;1,5946
75;GET;0,1267
75;POST;1,5777
76;GET;0,1374
76;POST;1,6576
77;GET;0,13
77;POST;1,5341
78;GET;0,1222
78;POST;1,5998
79;GET;0,1352
79;POST;1,5401
80;GET;0,1335
80;POST;1,6107
81;GET;0,1274
81;POST;1,5874
82;GET;0,1246
82;POST;1,5478
83;GET;0,1257
83;POST;1,5643
84;GET;0,1438
84;POST;1,5275
85;GET;0,1328
85;POST;1,612
86;GET;0,1309
86;POST;1,5657
87;GET;0,1292
87;POST;1,5621
88;GET;0,1294
88;POST;1,589
89;GET;0,1306
89;POST;1,535
90;GET;0,1466
90;POST;1,5711
91;GET;0,1402
91;POST;1,5723
92;GET;0,134
92;POST;1,5516
93;GET;0,1387
93;POST;1,5676
94;GET;0,1537
94;POST;1,6392
95;GET;0,1232
95;POST;1,6175
96;GET;0,1253
96;POST;1,5754
97;GET;0,1301
97;POST;1,5397
98;GET;0,127
98;POST;1,5165
99;GET;0,1307
99;POST;1,6549
100;GET;0,1295
100;POST;1,5499
101;GET;0,1349
101;POST;1,5596
102;GET;0,1299
102;POST;1,6011
103;GET;0,1291
103;POST;1,61
104;GET;0,122
104;POST;1,5749
105;GET;0,1325
105;POST;1,5546
106;GET;0,1214
106;POST;1,5758
107;GET;0,1229
107;POST;1,5126
108;GET;0,1237
108;POST;1,535
109;GET;0,1279
109;POST;1,5923
110;GET;0,1362
110;POST;1,5998
111;GET;0,1231
111;POST;1,5844
112;GET;0,126
112;POST;1,5511
113;GET;0,1339
113;POST;1,5896
114;GET;0,1311
114;POST;1,6302
115;GET;0,1417
115;POST;1,5453
116;GET;0,1278
116;POST;1,5645
117;GET;0,1319
117;POST;1,6061
118;GET;0,1428
118;POST;1,53
119;GET;0,1247
119;POST;1,6019
120;GET;0,1351
120;POST;1,6458
121;GET;0,1265
121;POST;1,5765
122;GET;0,1406
122;POST;1,5701
123;GET;0,1237
123;POST;1,6218
124;GET;0,1361
124;POST;1,5901
125;GET;0,1339
125;POST;1,5745
126;GET;0,1337
126;POST;1,612
127;GET;0,1215
127;POST;1,552
128;GET;0,132
128;POST;1,5319
129;GET;0,1395
129;POST;1,6093
130;GET;0,1282
130;POST;1,5596
131;GET;0,1311
131;POST;1,5521
132;GET;0,1278
132;POST;1,5809
133;GET;0,1332
133;POST;1,5608
134;GET;0,1272
134;POST;1,5078
135;GET;0,1224
135;POST;1,5169
136;GET;0,1258
136;POST;1,5754
137;GET;0,1314
137;POST;1,5867
138;GET;0,1248
138;POST;1,5692
139;GET;0,1419
139;POST;1,5739
140;GET;0,1325
140;POST;1,6402
141;GET;0,1383
141;POST;1,611
142;GET;0,1302
142;POST;1,5293
143;GET;0,1307
143;POST;1,5642
144;GET;0,1336
144;POST;1,5977
