Iteración,Tiempo Transcurrido (ns)
1,971393526
2,353049569
3,327596019
4,304856138
5,318452224
6,376558525
7,375864399
8,325702234
9,288680797
10,355434403
11,371446099
12,314831974
13,393120336
14,363796240
15,394906326
16,332991695
17,397475756
18,385363719
19,512679342
20,616614138
21,432337144
22,406721859
23,476227598
24,405103267
25,400022292
26,347138623
27,335687552
28,438197016
29,378588874
30,367949275
31,361061049
32,372495293
33,355281795
34,372112612
35,360849276
36,459098160
37,460646523
38,420287497
39,422875667
40,451376331
41,389630168
42,380778433
43,447272697
44,387241985
45,364060226
46,363554336
47,371679286
48,524555793
49,429690550
50,351928836
51,396383832
52,329648151
53,344959078
54,351698093
55,358382643
56,385886217
57,352139969
58,338381528
59,303810878
60,383335801
61,341090365
62,342146260
63,328886336
64,430398447
65,367759464
66,380015309
67,325617703
68,364063267
69,363723796
70,355503826
71,339576360
72,371724556
73,368637279
74,364735106
75,337841398
76,383113659
77,358603616
78,384145347
79,346891853
80,419926663
81,353365480
82,736391757
83,550264467
84,538474464
85,461165403
86,495732286
87,405946974
88,355897276
89,357582900
90,375329583
91,497002606
92,485412916
93,564705868
94,448485261
95,413159199
96,467679277
97,453786462
98,338668405
99,424977645
100,471716220
